Y,s1,t1,t2,t3
5.336936110405293,2.8112059190679615,1.5275795721925032,1.5275795721925032,1.5253256425413613
5.339105588117712,2.811857324273104,1.5278806836748766,1.5278806836748766,1.5256509238003677
5.341288019927393,2.8125089545110575,1.5281821630545065,1.5281821630545065,1.5259766301472972
5.343483851052295,2.81316081300335,1.5284840136854438,1.5284840136854438,1.5263027630451935
5.345693526170064,2.8138129030829226,1.5287862390377265,1.5287862390377265,1.5266293239757702
5.347917489118609,2.8144652281930536,1.529088842696779,1.529088842696779,1.5269563144392009
5.3501561826008555,2.8151177918884143,1.529391828362728,1.529391828362728,1.5272837359538927
5.352410047879744,2.8157705978332883,1.5296951998496504,1.5296951998496504,1.5276115900562517
5.3546795244739975,2.816423649801738,1.529998961084735,1.529998961084735,1.5279398783004152
5.356965049851685,2.8170769516768166,1.5303031161073686,1.5303031161073686,1.5282686022579939
5.359267059119177,2.8177305074493657,1.5306076690681412,1.5306076690681412,1.5285977635177694
5.36158598471436,2.818384321218183,1.5309126242277837,1.5309126242277837,1.528927363685414
5.363922256091409,2.8190383971883546,1.531217985956018,1.531217985956018,1.5292574043831477
5.366276299411606,2.819692739670684,1.5315237587303394,1.5315237587303394,1.529587887249432
5.368648537227094,2.8203473530805736,1.5318299471347125,1.5318299471347125,1.5299188139386057
5.37103938816916,2.8210022419368537,1.532136555858211,1.532136555858211,1.5302501861205347
5.37344926663669,2.8216574108608348,1.5324435896935653,1.5324435896935653,1.5305820054802288
5.375878582480361,2.822312864574896,1.5327510535356406,1.5327510535356406,1.5309142737174537
5.3783277406928445,2.822968607900719,1.533058952379856,1.533058952379856,1.5312469925463406
5.380797141098382,2.8236246457588536,1.5333672913205139,1.5333672913205139,1.5315801636949462
5.38328717804436,2.8242809831666422,1.5336760755490702,1.5336760755490702,1.5319137889048329
5.385798240091281,2.824937625236127,1.5339853103523282,1.5339853103523282,1.5322478699306321
5.388330709712884,2.825594577173773,1.5342950011105696,1.5342950011105696,1.5325824085395736
5.390884962989076,2.8262518442770377,1.534605153295611,1.534605153295611,1.5329174065110143
5.393461369310919,2.826909431934262,1.534915772468803,1.534915772468803,1.5332528656359614
5.396060291082154,2.8275673456215444,1.535226864278951,1.535226864278951,1.5335887877165764
5.398682083427165,2.8282255909013325,1.5355384344601855,1.5355384344601855,1.5339251745656557
5.40132709390436,2.82888417342057,1.5358504888297542,1.5358504888297542,1.5342620280061208
5.4039956622195335,2.829543098908142,1.5361630332857688,1.5361630332857688,1.534599349870474
5.406688119948392,2.8302023731732855,1.5364760738048748,1.5364760738048748,1.5349371420002622
5.4094047902590505,2.830862002102491,1.5367896164398713,1.5367896164398713,1.5352754062455196
5.412145987645076,2.831521991658608,1.5371036673172762,1.5371036673172762,1.535614144464199
5.414912017657596,2.832182347876896,1.5374182326348185,1.5374182326348185,1.5359533585215868
5.417703176648875,2.832843076863932,1.5377333186588937,1.5377333186588937,1.53629305028973
5.420519751516739,2.833504184794273,1.5380489317219543,1.5380489317219543,1.5366332216468215
5.423362019458669,2.834165677908321,1.5383650782198535,1.5383650782198535,1.5369738744766013
5.426230247730251,2.8348275625097727,1.5386817646091313,1.5386817646091313,1.5373150106677347
5.4291246934100865,2.835489844962911,1.5389989974042602,1.5389989974042602,1.537656632113189
5.432045603170996,2.8361525316894234,1.5393167831748342,1.5393167831748342,1.5379987407095834
5.434993213059186,2.836815629166395,1.5396351285427199,1.5396351285427199,1.5383413383565678
5.4379677482805855,2.837479143923319,1.5399540401791567,1.5399540401791567,1.538684426956144
5.440969422990982,2.838143082538566,1.5402735248018171,1.5402735248018171,1.5390280084120256
5.443998440098158,2.8388074516375323,1.5405935891718265,1.5405935891718265,1.539372084628959
5.447054991066987,2.8394722578885365,1.5409142400907425,1.5409142400907425,1.5397166575120433
5.450139255737103,2.84013750800121,1.5412354843974978,1.5412354843974978,1.5400617289660579
5.453251402141096,2.8408032087220585,1.5415573289653022,1.5415573289653022,1.5404073008947645
5.45639158633727,2.8414693668319155,1.5418797806985218,1.5418797806985218,1.5407533752002258
5.459559952248452,2.842135989143656,1.5422028465295134,1.5422028465295134,1.5410999537820853
5.46275663150414,2.842803082497617,1.5425265334154343,1.5425265334154343,1.5414470385368766
5.465981743297998,2.8434706537592946,1.5428508483350298,1.5428508483350298,1.5417946313573037
5.469235394247308,2.8441387098159097,1.5431757982853755,1.5431757982853755,1.542142734131526
5.4725176782657865,2.8448072575734638,1.543501390278624,1.543501390278624,1.5424913487424459
5.475828676438574,2.845476303952957,1.5438276313386963,1.5438276313386963,1.5428404770669761
5.4791684569115,2.846145855887052,1.5441545284979776,1.5441545284979776,1.5431901209753136
5.482537074785738,2.846815920317601,1.5444820887939803,1.5444820887939803,1.543540282330217
5.485934572019792,2.847486504191252,1.5448103192659979,1.5448103192659979,1.5438909629862636
5.489360977344391,2.848157614456808,1.5451392269517388,1.5451392269517388,1.5442421647891234
5.492816306179105,2.848829258061588,1.5454688188839487,1.5454688188839487,1.5445938895748181
5.496300560564071,2.8495014419479734,1.545799102087021,1.545799102087021,1.5449461391689794
5.499813729097769,2.8501741730503336,1.546130083573602,1.546130083573602,1.5452989153861243
5.503355786879206,2.850847458291,1.546461770341188,1.546461770341188,1.545652220028889
5.506926695467715,2.8515213045777363,1.5467941693687097,1.5467941693687097,1.5460060548873211
5.51052640284093,2.852195718799078,1.5471272876131252,1.5471272876131252,1.546360421738119
5.514154843370878,2.8528707078222144,1.5474611320060059,1.5474611320060059,1.5467153223438956
